smiles,value
CCCCCCCCCCCCCCCC(=O)NC1CCOC1=O,-0.795880017
CCCCCCCCCCCC[N+](C)(C)CCCC.[Br-],3.875061263
CCCCCCCCCCCC(=O)OCC1OC(OC2C(CO)OC(O)C(O)C2O)C(O)C(O)C1O,2.51851394
CCCCCCOC(=O)CC(C(=O)OCCCCCC)S(=O)(=O)[O-].[Na+],3.146128036
CCCCCCCCCCCC(=O)N(C)CC(O)CO,2.361727836
CCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,0.322219295
CCCCCCCCCCCC(=O)N(CCO)CCO,2.421603927
CCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCO,1
CC(C)CCCC(C)CCOC1OC(CO)C(O)C(O)C1O,3.602059991
CCCCCCCC(=O)N(C)CC(O)C(O)C(O)C(O)CO,4.838849091
CCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO,0.544068044
CCCCCCCCCCCCCC[n+]1ccccc1.[Cl-],3.544068044
CCCCCCCCC(O)CO,3.361727836
CCCCCCCCCCCCOCCOCCOCCO,1.716003344
CCCCCCCCCCOCCOCCOCCO,2.77815125
CCCCCCOCCOCCOCCO,5
CCCCCCCCCCCCCCCCCC[n+]1ccccc1.[Cl-],2.380211242
CCCCCCCCC(C)OC1OC(CO)C(O)C(O)C1O,3.653212514
CCCCCCCCOC1OC(CO)C(O)C(O)C1O,4.397940009
CCCCCCCCCCCCOC1OC(CO)C(O)C(O)C1O,2.278753601
CCCCCCCC(=O)NC1C(O)OC(CO)C(O)C1O,4.653212514
CCCCCCCCCCCCCCCCCCN(C)C(=O)C(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO,0.51851394
CCCCCCCCCCCCCC[N+](CCCC)(CCCC)CCCC.[Br-],3.079181246
O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F.[Na+],4.477121255
CCCCCCCCCCOC(=O)CS(=O)(=O)[O-].[Na+],4.342422681
CCCCCCCCC=CCCCCCCCCOC1OC(CO)C(OC2OC(CO)C(O)C(O)C2O)C(O)C1O,1.301029996
CCCCCCCCCC[N+](C)(C)CCCCCCCCCC.[Br-],3.267171728
CCCCCCSCC(O)C(O)C(O)CO,4.079181246
CCCCCCCCOCCOCCOCCOCCOCCOCCO,3.995635195
CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCOCCOCCOCCO)cc1,2.397940009
CCCCCCCCCCCCN(C)C(=O)C(O)C(O)C(O)C(O)CO,2.146128036
CCCCCCCCOCCOCCOCCO,3.875061263
CCCCCCCCCCCCCCN(C)C(=O)C(O)C(O)C(O)C(O)CO,1.380211242
CC(C)CCCC(C)CCOC1OC(CO)C(OC2OC(CO)C(OC3OC(CO)C(O)C(O)C3O)C(O)C2O)C(O)C1O,3.698970004
CCCCCCC(=O)OCC(O)C(O)C(O)CO,4
CCCCCCCCCCOC1OC(CO)C(OC2OC(CO)C(O)C(O)C2O)C(O)C1O,3.301029996
CCCCCCCCCCOCCOCCOCCOCCOCCOCCO,2.954242509
O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Na+],4.477121255
CCCCCCCCCCSCC(O)C(O)C(O)CO,2.602059991
CCCCCCCC(=O)NC1OC(CO)C(O)C(O)C1O,4.84509804
CCCCCCCCCOCC(O)C(O)C(O)CO,3.322219295
CCCCCCCCCCCC[N+](C)(C)CC.[Br-],4.146128036
CCCCCCCCCCCCCCCC[n+]1ccccc1.[Br-],2.806179974
CCCCCCCCCCC(C(=O)[O-])[n+]1ccccc1,3.716003344
CCCCCCCCCCCC[n+]1ccccc1.[I-],3.72427587
CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],3.556302501
CCCCCCCCCCCCC(C(=O)[O-])[n+]1ccccc1,2.77815125
CCCCCC(CCCC)OC1OC(CO)C(O)C(O)C1O,4.176091259
CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)cc1,2.51851394
CCCCC(CC)COC(=O)CC(C(=O)OCC(CC)CCCC)S(=O)(=O)[O-].[Na+],3.397940009
O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Li+],3.69019608
CCCCCCCCCCS(=O)(=O)[O-].[Na+],4.633468456
CCCCCCCCCOC1OC(CO)C(O)C(O)C1N,3.84509804
CCCCCCCCCCN(C)C(=O)C(O)C(O)C(O)C(O)CO,3.113943352
CC(C)CCCC(C)CCOC1OC(CO)C(OC2OC(CO)C(O)C(O)C2O)C(O)C1O,3.72427587
CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],2.991226076
CCCCCCCCCCCC(=O)OCC1OC(OCC2OC(OC3(CO)OC(CO)C(O)C3O)C(O)C(O)C2O)C(O)C(O)C1O,2.977723605
CCCCCCCCCCCCN(C)C(=O)C(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO,2.397940009
CCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Cl-],4.591064607
CCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,3.113943352
CCCCCCCCSC1OC(=O)C(O)C1O,2.681241237
CCCCCCCCCCCC[N+](C)(C)CCCC(=O)[O-],3.662757832
CCCCCCCCCCOCCS(=O)(=O)[O-].[Na+],4.201397124
CCCCCCCCCCCCCC(=O)N(C)CC(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO,1.832508913
CCCCCCCC(CC)OC1OC(CO)C(O)C(O)C1O,3.929418926
CCCCCCCCCCCCS(=O)(=O)[O-].[Na+],4.093421685
CCCCOCC(O)C(O)C(O)CO,4.763427994
CCCCCCCCCCCC(=O)N(C)CC(O)C(O)C(O)CO,2.556302501
CCCCCCCCC(O)CCO,3.361727836
CCCCCCCC[N+](C)(C)C.[Br-],5.146128036
CCCCCCCCC=CCCCCCCCC(=O)OC1(OC2(CO)OC(CO)C(O)C2O)OC(CO)C(O)C(O)C1O,0.707570176
CCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,0.591064607
CCCCCCCCCCCC(=O)N(C)CC(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO,2.653212514
CCCCCCCCCC(=O)OCC(O)C(O)C(O)CO,3.255272505
CCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO,0.954242509
CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCOCCOCCO)cc1,2.322219295
CCCCCCOCC(O)C(O)C(O)CO,3.973127854
CCCCCCCCCCCCCC[N+](C)(C)CCCS(=O)(=O)[O-],2.505149978
CCCCCCCCC=CCCCCCCCCOC1OC(CO)C(OC2OC(CO)C(OC3OC(CO)C(O)C(O)C3O)C(O)C2O)C(O)C1O,1.62324929
CCCCCCCCSC1OC(CO)C(O)C(O)C1O,3.929418926
CCCCCCCCC(CCCCCC)COCCOCCOCCOCCOCCOS(=O)(=O)[O-].[Na+],1.934498451
CCCCCCNC(=O)C(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO,4.919078092
CCCCCCCCCCCCCCCC(=O)NC(CC(C)C)C(=O)[O-].[Na+],3.176091259
CCCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],3.322219295
CCCCCCCCCCCCCCC[n+]1ccccc1.[Br-],3.113943352
CCCCCCCCCCCCC(C(=O)OCC)S(=O)(=O)[O-].[Na+],3.352182518
CCCCCCCCCCCCCCC(C(=O)OC)S(=O)(=O)[O-].[Na+],2.86332286
CCCCCCCCC(CC)OS(=O)(=O)[O-].CCC[N+](CCC)(CCC)CCC,3.342422681
CCCCCOCC(O)C(O)C(O)CO,4.579783597
CCCCCCCCCCCC[N+]CCO.[Cl-],4.397940009
CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCO)cc1,2.113943352
CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO,2.037426498
CCCCCCCCCCCC(=O)OCC1OC(OCC2OC(OCC3OC(OC4(CO)OC(CO)C(O)C4O)C(O)C(O)C3O)C(O)C(O)C2O)C(O)C(O)C1O,3.361727836
CCCCCCCCCCCCS(=O)(=O)[O-].[Li+],4.041392685
CCCCCCCCOCC(O)C(O)C(O)CO,3.826074803
CCCCCCCCCC(=O)N(C)CC(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO,3.51851394
CCCCCCCCCCCCOS(=O)(=O)[O-].[Li+],3.949390007
CCCCOC(=O)CC(C(=O)OCCCC)S(=O)(=O)[O-].[Na+],5.301029996
CCCCCCCCC=CCCCCCCCC(=O)NCCOC1OC(CO)C(OC2OC(CO)C(O)C(O)C2O)C(O)C1O,1.954242509
CCCCCCCCCCCCC(O)CCO,1.113943352
CCCCCCCCCOC1OC(CO)C(O)C(O)C1O,3.838849091
CCCCCCCCCC[N+](C)(C)C.[Br-],4.832508913
CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCOCCOCCOCCOCCO)cc1,2.447158031
CCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCC.[Br-],2.245512668
CCCCCCCCCCNC(=O)C(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO,3.113943352
CCCCCCCCCC[N+](C)(C)C.[Cl-],4.832508913
CCCCCCCCOC1OC(CO)C(O)C(O)C1N,4.361727836
CCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO,2.477121255
CCCCCCCCCCCCOCCOS(=O)(=O)[O-].[Na+],3.591064607
CCCCCCCCCCCC[n+]1ccccc1.[Cl-],4.230448921
CCCCCCCCCCCCCC[N+](CC)(CC)CC.[Br-],3.491361694
CCCCCCCCCCCCCC[N+](CCC)(CCC)CCC.[Br-],3.322219295
CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCO)cc1,1.986771734
CCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO,1.431363764
CCCCCCCCCCCCCC[N+](C)(C)CC(=O)[O-],2.342422681
CCCCCCCCCC(=O)CC(=O)NC1CCOC1=O,1.986771734
CCCCCCCCCCCCS(=O)(=O)[O-].[NH4+],3.949390007
CCCCCCCCCCCCC(C(=O)OCCCC)S(=O)(=O)[O-].[Na+],3.130333768
CCCCCCCCCCCC[N+](C)(C)CCCCCC(=O)[O-],3.414973348
CCCCCCCCCCCCC[n+]1ccccc1.[Br-],3.72427587
CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCO,1.913813852
CCCCCCCCCCCC[NH+]CCO.[Cl-],4.556302501
CCCCCCCCCCCCCCCC[N+](C)(C)CC(=O)[O-],1.301029996
CCCCCCCCCCCCCCCCN(C)C(=O)C(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO,0.968482949
CCCCCCCCCCCCS(=O)(=O)[O-].[K+],3.968482949
CCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCO,0.220108088
OCCOCCOCCOCCOCCOCCSCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,3.568201724
CCCCCCCCCCCCNC(=O)C(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO,2.491361694
CCCCCCCCCCCC[N+](C)(C)CCCCCCCC.[Br-],3.041392685
OCCOCCOCCSCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,3.397940009
CCCCCCCCCCOCCOCCOCCOCCO,2.832508913
CCCCCCCCCCCCCC[n+]1ccccc1.[Br-],3.431363764
CCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Cl-],3.301029996
CCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOS(=O)(=O)[O-].[Na+],1.397940009
