smiles,smiles,ratio,temperature,value
[Br-].C=CC[P+](c1ccccc1)(c2ccccc2)c3ccccc3,OCCOCCOCCO,1:16,328.15,1119.9
[Cl-].C[N+](C)(CCO)Cc1ccccc1,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)C=O,1:1,328.15,1243.0
[Cl-].C[N+](C)(CCO)Cc1ccccc1,OC[C@@H](O)[C@H](O)[C@@H](O)C=O,1:1,348.15,1195.0
[Cl-].C[N+](C)(C)CCO,OCCO,1:2,308.15,1111.3
[Cl-].C[N+](C)(CCO)Cc1ccccc1,OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)CO,1:1,338.15,1214.0
[Cl-].C[N+](C)(CCO)Cc1ccccc1,OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)CO,1:1,298.15,1239.0
[Cl-].C[N+](C)(CCO)Cc1ccccc1,OC[C@@H](O)[C@H](O)[C@@H](O)C=O,1:1,308.15,1218.0
[Cl-].C[N+](C)(C)CCO,CC(O)C(C)O,1:4,323.15,1019.7
[Cl-].C[N+](C)(C)CCO,OCCO,1:1.78,298.15,1118.0
[Cl-].CCCC[N+](CCCC)(CCCC)CCCC,OCCO,1:3,303.15,1123.0
[Cl-].C[N+](C)(C)CCO,OCC(O)CO,1:2.03,368.15,1154.9
[Cl-].CC[NH+](CC)CCO,OCC(O)CO,1:3,338.15,1180.7
[Cl-].C[N+](C)(C)CCO,OC[C@@H](O)[C@H](O)[C@@H](O)CO,1:1,303.15,1244.5
[Cl-].C[N+](C)(C)CCO,OCC(O)CO,1:3,343.15,1178.1
[Cl-].C[N+](C)(C)CCO,OCCO,1:2.57,323.15,1102.3
[Br-].C[P+](c1ccccc1)(c2ccccc2)c3ccccc3,OCC(O)CO,1:3,303.15,1294.5
[Cl-].CC[NH+](CC)CCO,OCC(O)CO,1:2.03,338.15,1149.2
[Cl-].C[N+](C)(C)CCO,OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)CO,2:1,348.15,1249.7
[Cl-].C[N+](C)(C)CCO,CC(=O)CCC(O)=O,1:2,343.15,1108.0
[Br-].CCCCCC[N+](CCCCCC)(CCCCCC)CCCCCC,OCCO,1:2,303.15,1001.3
[Cl-].C[N+](C)(C)CCO,OCCO,1:2.03,368.15,1076.7
[Cl-].CC[NH+](CC)CCO,OCC(O)CO,1:3,368.15,1162.4
[Cl-].CC(=O)OCC[N+](C)(C)C,OC[C@@H](O)[C@@H](O)[C@@H](O)C=O,1:1,298.15,1255.0
[Cl-].CC[NH+](CC)CCO,OCCO,1:4,303.15,1100.4
[Cl-].C[N+](C)(C)CCO,OCC(O)CO,1:3,368.15,1165.2
[Cl-].CC[NH+](CC)CCO,OCCO,1:4,323.15,1087.7
[Br-].CCCCCC[N+](CCCCCC)(CCCCCC)CCCCCC,OCC(O)CO,1:2,333.15,1020.0
[Cl-].C[N+](C)(C)CCO,OC(=O)CC(O)=O,1:1,328.15,1212.0
[Cl-].CC(=O)OCC[N+](C)(C)C,OC[C@@H](O)[C@H](O)[C@@H](O)C=O,1:1,338.15,1229.0
[Cl-].C[N+](C)(C)CCO,Oc1ccccc1,1:2,298.20,1096.7
[Cl-].C[N+](C)(C)CCO,OCCO,1:2,338.15,1094.1
[Cl-].C[N+](C)(C)CCO,OCC(O)CO,1:2,283.15,1200.1
[Cl-].CC[NH+](CC)CCO,OCCO,1:2,338.15,1075.9
[Cl-].CCCC[N+](CCCC)(CCCC)CCCC,OCC(O)CO,1:4,293.15,1029.0
[Cl-].C[N+](C)(C)CCO,OCCO,1:2.57,308.15,1111.1
CC(N(C)C)C(O)=O,OC(=O)c1ccccc1Cl,1:2,363.15,1250.0
[Cl-].C[N+](C)(C)CCO,OCC(O)CO,1:1,313.15,1148.3
[Cl-].CCCC[N+](CCCC)(CCCC)CCCC,OCC(O)CO,1:5,323.15,1020.0
[Br-].C[P+](c1ccccc1)(c2ccccc2)c3ccccc3,OCCO,1:4,308.15,1225.6
[Br-].C=CC[P+](c1ccccc1)(c2ccccc2)c3ccccc3,OCCOCCOCCO,1:4,298.15,1187.1
OC(=O)[C@@H]1CCCN1,CC(O)C(O)=O,1:1,333.15,1237.0
[Cl-].C[N+](C)(C)CCO,OC(=O)CC(O)=O,1:1,303.15,1211.2
