smiles,smiles,ratio,value
[Br-].C[P+](c1ccccc1)(c2ccccc2)c3ccccc3,OCCO,1:4,-49.34
CCCCCCCCP(=O)(CCCCCCCC)CCCCCCCC,CCCCCCCCCCCC(=O)O,0.30:0.70,27.71
CC1CCC(C(C1)O)C(C)C,CCCCCCCCCCCC(=O)O,0.75:0.25,16.34
Cl[Zn]Cl,CCN(CC)OCC.Cl ,0.50:0.50,40.24
C1=CC=C(C=C1)C[P+](C2=CC=CC=C2)(C3=CC=CC=C3)C4=CC=CC=C4.[Cl-],C(CO)O,0.25:0.75,47.9
CCCC[N+](CCCC)(CCCC)CCCC.[Br-],C(CO)N,0.14:0.86,0.43
C[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(CO)O,0.50:0.50,78.93
C[N+](C)(C)CCO.[Cl-],CC1=CC(=C(C=C1)C(C)C)O,0.50:0.50,75.45
C[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(CO)O,0.40:0.60,49.27
CC1CCC(C(C1)O)C(C)C,CCCCCCCC(=O)O,0.60:0.40,-7.58
C[N+](C)(C)CC(=O)[O-],CC1=CC(=C(C=C1)C(C)C)O,0.10:0.90,37.75
C(#N)[S-].[NH4+],C(CO)O,0.25:0.75,-47.45
CC1CCC(C(C1)O)C(C)C,CC(C1CCCCC1)C(=O)O,0.20:0.80,5.537
CC[N+](C)(C)C.[Br-],C(=O)(N)N,0.33:0.67,9
[Cl-].C(c1ccccc1)[P+](c2ccccc2)(c3ccccc3)c4ccccc4,OCC(O)CO,1:5,50.36
C[N+](C)(C)CCO.[Cl-],C(CCO)CO,0.33:0.67,-32
C[N+](C)(C)CCO.[Cl-],CCCCCCCCCCCCCC(=O)O,0.80:0.20,202.68
C(#N)[S-].[NH4+],C1CCC(=O)NCC1,0.40:0.60,4.386
CC(N(C)C)C(O)=O,OC(=O)c1ccccc1,1:1.5,53.0
Cl[Zn]Cl,C[N+](C)(C)CCO.[Cl-],0.80:0.20,45.82
C[N+](C)(C)CCO.[Cl-],CC1CCC(C(C1)O)C(C)C,0.20:0.80,43.75
C[N+](C)(C)CC1=CC=CC=C1.[Cl-],CC1=CC=C(C=C1)S(=O)(=O)O,0.30:0.70,-1
C[N+](C)(C)CCO.[Cl-],CCCCCCCCCCCC(=O)O,0.60:0.40,240.2
C(#N)[S-].[NH4+],C(C(CO)O)O,0.40:0.60,-38.65
CC1CCC(C(C1)O)C(C)C,CC1=CC(=C(C=C1)C(C)C)O,0.70:0.30,-0.75
C(#N)[S-].[NH4+],C(=O)(N)N,0.25:0.75,61.4
C[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(C(CO)O)O,0.25:0.75,-5.5
[Cl-].C[N+](C)(C)CCO,OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)CO,1:1,20.0
CC1CCC(C(C1)O)C(C)C,CCCCCCCC(=O)O,0.50:0.50,-4.5
C(#N)[S-].[K+],C1CCC(=O)NCC1,0.67:0.33,166.67
C[N+](C)(C)CCO.[Cl-],CCCCCCCCCCCCCC(=O)O,0.15:0.85,43.88
CC1=CC(=C(C=C1)C(C)C)O,CCCCCCCCCCCC(=O)O,0.70:0.30,33.81
C[N+](C)(C)CCO.[Cl-],C1C(C(C(C(O1)(CO)O)O)O)O,0.33:0.67,202.15
C[N+](C)(C)CC(=O)[O-],C(C(=O)O)O,0.33:0.67,-36
C[N+](C)(C)CCO.[Cl-],C(C(CO)O)O,0.33:0.67,-32.65
CCCC[P+](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3.[Br-],C(CO)O,0.08:0.92,-90.64
C[N+](C)(C)CCO.[Cl-],CC(=O)CCC(=O)O,0.25:0.75,-11.15
C[N+](C)(C)CCO.[Cl-],C(COCCOCCO)O,0.17:0.83,-9.19
CCC[N+](CCC)(CCC)CCC.[Cl-],CCCCCCCCCC(=O)O,0.20:0.80,31.03
C[N+](C)(C)CC(=O)[O-],CC1CCC(C(C1)O)C(C)C,0.20:0.80,39.15
C[N+](C)(C)CC(=O)[O-],C(=O)(N)N,0.40:0.60,113.15
[Br-].C[P+](c1ccccc1)(c2ccccc2)c3ccccc3,OCC(O)CO,1:1.75,-4.03
C[N+](C)(C)CCO.[Cl-],C(C(CO)O)O,0.40:0.60,13
C[N+](C)(C)CCO.[Cl-],C(CO)O,0.25:0.75,-7.96
CC(N(C)C)C(O)=O,OC(=O)CC(O)(CC(O)=O)C(O)=O,1:1.5,48.0
[Cl-].CCCC[N+](CCCC)(CCCC)CCCC,OCC(O)CO,1:5,-42.78
[Cl-].C[N+](C)(C)CCO,Oc1ccccc1,119:881,6.15
[Br-].C[P+](c1ccccc1)(c2ccccc2)c3ccccc3,OCC(O)CO,2:1,80.43
C[N+](C)(C)CC(=O)[O-],C(=O)(C(=O)O)O.O.O,0.33:0.67,-34.7
CC1CCC(C(C1)O)C(C)C,CC1=CC(=C(C=C1)C(C)C)O,0.90:0.10,31.25
[Cl-].C[N+](C)(C)CCO,Cc1ccccc1O,357:643,22.15
CC[NH2+]C.[Br-],C(C(CO)O)O,0.33:0.67,-6
CC1CCC(C(C1)O)C(C)C,CCCCCCCCCCCC(=O)O,0.40:0.60,33.5
C[N+](C)(C)CCO.[Cl-],CCCCCCCCCCCCCCCCCCO,0.20:0.80,58.43
C[N+](C)(C)CC(=O)[O-],C1=COC(=C1)C(=O)O,0.33:0.67,39
[Br-].C[P+](c1ccccc1)(c2ccccc2)c3ccccc3,OCC(O)CO,1:1.5,43.56
CCCC[N+](CCCC)(CCCC)CCCC.[Br-],CCCCCCCCCCCCCC(=O)O,0.60:0.40,25.35
C[N+](C)(C)CCO.[Cl-],CC1=C(C(=CC=C1)O)C,0.17:0.83,51.85
C[N+](C)(C)CCO.[Cl-],C(C(C(C(C(CO)O)O)O)O)O,0.50:0.50,15
C1CC(NC1)C(=O)O,C(C(=O)O)O,0.25:0.75,-9
CC(N(C)C)C(O)=O,OC(=O)Cc1ccccc1,1:2,-7.0
CCCC[N+](CCCC)(CCCC)CCCC.[Br-],C(CO)O,0.25:0.75,-31.87
C[N+](C)(C)CC(=O)[O-],C1=CC=C(C=C1)C(C(=O)O)O,0.50:0.50,48
C[N+](C)(C)CCO.[Cl-],C1=CN=CN1,0.10:0.90,68.84
O.O.O.O.O.O.[Cl-].[Cl-].[Ca+2],C[N+](C)(C)CCO.[Cl-],0.90:0.10,24.1
CC1CCC(C(C1)O)C(C)C,CC1=CC(=C(C=C1)C(C)C)O,0.65:0.35,-9.25
C[N+](C)(C)CC1=CC=CC=C1.[Cl-],CC1=CC=C(C=C1)S(=O)(=O)O,0.60:0.40,16.87
CC(N(C)C)C(O)=O,OC(=O)c1ccc(Cl)cc1,1:1.5,28.0
Cl[Zn]Cl,CCN(CC)OCC.Cl ,0.75:0.25,37.32
