smiles,smiles,ratio,temperature,value,value,value
[Cl-].CCCC[N+](CCCC)(CCCC)CCCC,CCC(O)=O,1:2,333.15,0.94301,1.4409090820652177,0.10380372095595687
[Cl-].C[N+](C)(C)CCO,OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)CO,2:1,338.15,1.2555,2.7564078725489582,
[Cl-].CCC[N+](CCC)(CCC)Cc1ccccc1,Oc1ccccc1,1:3,313.15,1.04719,2.0293837776852097,-0.17457388223217687
[Cl-].CC(=O)OCC[N+](C)(C)C,[nH]1ccnc1,1:3,333.15,1.1421,1.7628285531890906,
[Cl-].C[N+](C)(C)CCO,OC(=O)CCCC(O)=O,1:1,328.15,1.17,2.5040628826786917,
[Cl-].CC(=O)OCC[N+](C)(C)C,OC[C@@H](O)[C@@H](O)[C@@H](O)C=O,1:1,293.15,1.258,3.354363944353874,
[Cl-].C[N+](C)(CCO)Cc1ccccc1,OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)CO,1:1,308.15,1.233,2.3483438114793698,
[Cl-].C[N+](C)(C)CCO,OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)CO,1:1,338.15,1.249,1.7412304110254708,
[Cl-].CC(=O)OCC[N+](C)(C)C,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)C=O,1:1,323.15,1.256,2.399396792103312,
[Cl-].C[N+](C)(C)CCO,CC(=O)CCC(O)=O,1:2,323.15,1.121,1.759516759462188,0.41995574848975786
[Cl-].C[N+](C)(C)CCO,OCCO,1:2,308.15,1.11094,1.4899584794248346,1.0413926851582251
[Cl-].CC(=O)OCC[N+](C)(C)C,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)C=O,1:1,333.15,1.25,2.119783586161698,
[Cl-].CC(=O)OCC[N+](C)(C)C,[nH]1cncn1,1:1,343.15,1.1081,1.4429498695778618,
[Cl-].CCC[N+](CCC)(CCC)Cc1ccccc1,OCC(O)CO,1:3,313.15,1.12062,2.891983230851967,-0.6575773191777937
[Cl-].C[N+](C)(C)CCO,OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)CO,2:1,348.15,1.2497,2.4553017716570764,
[Cl-].C[N+](C)(CCO)Cc1ccccc1,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,1:1,298.15,1.252,3.5107862179228393,
[Cl-].C[N+](C)(C)CCO,Oc1ccc(Cl)cc1,1:2,298.15,1.19877,2.090751689644903,
[Cl-].C[N+](C)(C)CCO,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)C=O,1:1,343.15,1.254,1.7996850909091004,
[Cl-].C[N+](C)(CCO)Cc1ccccc1,OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)CO,1:1,328.15,1.22,1.798097932062486,
[Br-].CCCC[N+](CCCC)(CCCC)CCCC,CC(=O)CCC(O)=O,1:3,313.15,1.0862,1.972573080926555,-0.2596373105057561
[Cl-].CCCC[N+](CCCC)(CCCC)CCCC,OCCO,1:2,333.15,0.96784,1.3873898263387294,0.5037906830571811
CC(O)C(O)=O,OC(=O)[C@@H]1CCCN1,1:1,343.15,1.23014,2.3911116137028023,
[Cl-].CCCC[N+](CCCC)(CCCC)CCCC,OCC(O)CO,1:3,303.15,1.008,2.7634279935629373,-0.5100415205751654
[Cl-].CC(=O)OCC[N+](C)(C)C,[nH]1cncn1,1:1,303.15,1.1293,2.4838582008059147,
[Cl-].CC(=O)OCC[N+](C)(C)C,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,1:1,343.15,1.235,1.69810054562339,
[Cl-].C[N+](C)(C)CCO,OCCO,1:2,313.15,1.10811,1.4116197059632303,1.1115985248803941
[Br-].C[P+](c1ccccc1)(c2ccccc2)c3ccccc3,OCCO,1:4,298.15,1.2326,2.040602340114073,-0.10347378251044466
[Cl-].C[N+](C)(C)CCO,OCCO,1:2,333.15,1.09687,1.1522883443830565,1.352761191723831
[Cl-].C[N+](C)(C)CCO,OC[C@@H](O)[C@H](O)[C@@H](O)C=O,1:1,333.15,1.238,1.97913846954681,
CC(=O)CCC(O)=O,C[N+](C)(C)CC([O-])=O,2:1,343.15,1.12657,1.8260748027008264,
[Br-].C[P+](c1ccccc1)(c2ccccc2)c3ccccc3,NC(=O)C(F)(F)F,1:8,308.15,1.3837,1.8530895298518655,0.26030994579492
[Cl-].CCC[N+](CCC)(CCC)Cc1ccccc1,OCCO,1:3,323.15,1.04519,1.73559889969818,0.3010299956639812
[Cl-].CCC[N+](CCC)(CCC)Cc1ccccc1,OCC(O)CO,1:3,323.15,1.11445,2.5553363279952666,-0.42712839779951983
[Cl-].CC(=O)OCC[N+](C)(C)C,[nH]1ccnc1,1:2,343.15,1.0987,1.0557604646877348,
[Cl-].C[N+](C)(C)CCO,OC[C@@H](O)[C@H](O)[C@@H](O)C=O,1:1,318.15,1.246,2.3480321261824866,
[Cl-].C[N+](C)(C)CCO,OCC(O)CO,1:2,293.15,1.1943,2.6748309318891943,
[Cl-].CCCC[N+](CCCC)(CCCC)CCCC,OC(=O)Cc1ccccc1,1:2,313.15,1.03059,2.0382226383687185,-0.4962093169428189
[Cl-].C[N+](C)(C)CCO,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)C=O,1:1,318.15,1.267,2.388278863459639,
[Cl-].CC(=O)OCC[N+](C)(C)C,OC[C@@H](O)[C@@H](O)[C@@H](O)C=O,1:1,308.15,1.249,2.7425916025299224,
[Cl-].CC(=O)OCC[N+](C)(C)C,OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)CO,1:1,338.15,1.237,1.7344797894255772,
[Cl-].CCC[N+](CCC)(CCC)Cc1ccccc1,CC(O)C(O)=O,1:3,333.15,1.0921,2.177824971864682,-0.5734887386354247
[Cl-].C[N+](C)(C)CCO,OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)CO,2:1,328.15,1.2612,3.1009561030594925,
[Cl-].C[N+](C)(C)CCO,OCC(O)=O,1:1,353.15,1.164,1.5900612308037425,
[Cl-].CCCC[N+](CCCC)(CCCC)CCCC,CCC(O)=O,1:2,338.15,0.93973,1.3579348470004537,0.1565491513317813
[Cl-].CCCC[N+](CCCC)(CCCC)CCCC,OCCO,1:4,313.15,1.132,1.5700757053216041,-2.4509967379742124
[Cl-].CC(=O)OCC[N+](C)(C)C,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,1:1,328.15,1.244,2.0402066275747113,
[Cl-].C[N+](C)(C)CCO,NC(N)=O,1:2,353.15,1.1635,1.4487882253752369,
CC(=O)CCC(O)=O,C[N+](C)(C)CC([O-])=O,2:1,323.15,1.14059,2.288249225571986,
[Cl-].CCCC[N+](CCCC)(CCCC)CCCC,CCC(O)=O,1:2,323.15,0.94951,1.6180480967120927,-0.010995384301463193
Cl.CN(C)C,CC(=O)CCC(O)=O,1:3,343.15,1.07799,,0.9175055095525466
[Br-].CCCC[N+](CCCC)(CCCC)CCCC,CC(=O)CCC(O)=O,1:3,328.15,1.07566,,0.06069784035361165
[Cl-].CCC[N+](CCC)(CCC)Cc1ccccc1,Oc1ccccc1,1:3,343.15,1.02764,1.3096301674258988,0.2631624649622167
[Cl-].CCCC[N+](CCCC)(CCCC)CCCC,CC(=O)CCC(O)=O,1:3,323.15,1.01307,1.4058583993176366,0.11058971029924898
[Br-].CCCCCC[N+](CCCCCC)(CCCCCC)CCCCCC,OCCO,1:2,338.15,0.9789,1.4668676203541096,
[Cl-].C[N+](C)(CCO)Cc1ccccc1,OC[C@@H](O)[C@H](O)[C@@H](O)C=O,1:1,318.15,1.212,2.430333103380032,
[Br-].C[P+](c1ccccc1)(c2ccccc2)c3ccccc3,OCCO,1:4,278.15,,2.537819095073274,-0.43062609038495414
[Cl-].C[N+](C)(C)CCO,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,1:1,313.15,1.265,2.680272041942144,
[Cl-].C[N+](C)(C)CCO,OC[C@@H](O)[C@H](O)[C@@H](O)C=O,1:1,343.15,1.232,1.7733475419808231,
CC(O)C(O)=O,OC(=O)[C@@H]1CCCN1,1:1,333.15,1.23701,2.6743098889414774,
[Cl-].C[N+](C)(C)CCO,OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)CO,1:1,348.15,1.242,1.5488805626375148,
CC(O)C(O)=O,C[N+](C)(C)CC([O-])=O,5:1,308.15,1.19724,2.0806264869218056,
[Br-].CCCC[N+](CCCC)(CCCC)CCCC,CC(=O)CCC(O)=O,1:3,293.15,1.10089,2.5757649805367193,-0.8239087409443188
[Cl-].CCCC[N+](CCCC)(CCCC)CCCC,OCC(O)CO,1:3,323.15,0.995,2.1958996524092336,-0.10734896612269966
[Cl-].CCCC[N+](CCCC)(CCCC)CCCC,OCCOCCOCCO,3:1,293.15,0.996,,-1.6560009309428387
[Cl-].C[N+](C)(C)CCO,Oc1ccccc1,1:5,318.2,1.0736,1.0515383905153275,0.8426092396105621
CC(=O)CCC(O)=O,C[N+](C)(C)CC([O-])=O,2:1,293.15,1.1619,,
[Cl-].C[N+](C)(C)CCO,OC[C@@H](O)[C@H](O)[C@@H](O)C=O,1:1,328.15,1.24,2.0929310756735524,
[Cl-].CCCC[N+](CCCC)(CCCC)CCCC,OCCOCCOCCO,1:1,353.15,0.991,1.6503075231319364,0.16849748352303268
[Cl-].CCCC[N+](CCCC)(CCCC)CCCC,CCC(O)=O,1:2,308.15,0.95938,1.9410142437055697,-0.21538270736712464
[Cl-].C[N+](C)(CCO)Cc1ccccc1,OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)CO,1:1,303.15,1.236,2.5128710920393234,
[Cl-].CCCC[N+](CCCC)(CCCC)CCCC,OC(=O)Cc1ccccc1,1:2,338.15,1.01431,1.5211380837040362,-0.1366771398795441
[Br-].C[P+](c1ccccc1)(c2ccccc2)c3ccccc3,OCC(O)CO,1:1.75,358.15,1.248,1.8887409606828927,0.38381536598043126
[Cl-].CC[N+](CC)(CC)CC,CC(=O)CCC(O)=O,1:3,303.15,1.0903,1.8439176380063924,0.13987908640123647
[Cl-].C[N+](C)(C)CCO,OC(=O)CCCC(O)=O,1:1,333.15,1.167,2.397418542351348,
[Br-].C[P+](c1ccccc1)(c2ccccc2)c3ccccc3,OCC(O)CO,1:1.75,338.15,1.2619,2.313234291694724,0.10346162209470475
[Cl-].CCCC[N+](CCCC)(CCCC)CCCC,CCC(O)=O,1:2,318.15,0.95283,1.7185016888672742,-0.0721165896692931
[Br-].CCCCCC[N+](CCCCCC)(CCCCCC)CCCCCC,OCCO,1:2,318.15,0.9919,1.808885867359812,
[Cl-].C[N+](C)(C)CCO,Oc1ccc(Cl)cc1,1:2,318.15,1.1816,1.6428600525844914,
[Cl-].CC(=O)OCC[N+](C)(C)C,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,1:1,338.15,1.238,1.8035936647713446,
