smiles,value
COc1cccc(Cl)c1,-2.78
CCCI,-2.29
CCCCC(C)CC,-5.16
C1N(C(=O)NCC(C)C)C(=O)NC1,-2.15
CCCCCC=C,-3.73
COc1c(O)c(Cl)c(Cl)c(Cl)c1Cl,-4.02
CC1=C(CCCO1)C(=O)Nc2ccccc2,-2.56
O=C2NC(=O)C1(CCCCCC1)C(=O)N2,-3.168
CC23Cc1cnoc1C=C2CCC4C3CCC5(C)C4CCC5(O)C#C,-5.507000000000001
CCCc1ccccc1,-3.37
CCCCCCCC(=O)C,-2.58
CCOC(=O)Nc2cccc(OC(=O)Nc1ccccc1)c2,-4.632
CCCCCC(=O)C,-1.45
C(c1ccccc1)c2ccccc2,-4.08
ClC(=C(Cl)Cl)Cl,-2.54
CCN(CC(C)=C)c1c(cc(cc1N(=O)=O)C(F)(F)F)N(=O)=O,-6.124
CC1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,-3.9989999999999997
ClC(Br)Br,-1.9
CC(O)C(C)(C)C,-0.62
Clc1cccc2ccccc12,-3.93
CCOP(=S)(OCC)Oc1ccc(cc1)N(=O)=O,-4.66
CCC(C)CC,-3.68
Cc1ccc2cc3ccccc3cc2c1,-6.96
CC2Nc1cc(Cl)c(cc1C(=O)N2c3ccccc3C)S(N)(=O)=O,-3.78
Nc1ccc(cc1)S(N)(=O)=O,-1.34
CC(C)C(C)(C)C,-4.36
CC34CCC1C(CCc2cc(O)ccc12)C3CCC4(O)C#C,-4.3
CC(C)C(O)C(C)C,-1.22
CCCOCC,-0.66
C=CC=C,-1.87
CCOP(=S)(NC(C)C)Oc1ccccc1C(=O)OC(C)C,-4.194
ON=Cc1ccc(o1)N(=O)=O,-2.19
C1CC=CC1,-2.1
C1CCCCCC1,-3.51
Brc1cccc(Br)c1,-3.54
C/C1CCC(\C)CC1,-4.47
CC(C)(C)c1ccc(O)cc1,-2.41
CCc1cccc(CC)c1N(COC)C(=O)CCl,-3.26
CC(C)N(C(=O)CCl)c1ccccc1,-2.48
CC(=O)CCC1C(=O)N(N(C1=O)c2ccccc2)c3ccccc3,-3.27
C#C,0.29
COP(=O)(OC)C(O)C(Cl)(Cl)Cl,-0.22
c2ccc1[nH]ncc1c2,-2.16
O=C(Nc1ccccc1)Nc2ccccc2,-3.15
CCSCCSP(=S)(OC)OC,-3.091
c1ccc2c(c1)c3ccccc3c4ccccc24,-6.726
COC(=O)c1ccccc1,-1.85
Cc1ccc(cc1)c2ccccc2,-4.62
CC1(C)C2CCC1(C)C(O)C2,-2.32
Clc1ccc(cc1Cl)c2ccccc2,-6.39
CN(C)C(=O)NC1CCCCCCC1,-2.218
CC(C)C(=O)C,-0.12
CCOP(=S)(OCC)SCn1c(=O)oc2cc(Cl)ccc12,-5.233
CC(C)CCOC=O,-1.52
CCCN(CCC)c1c(cc(cc1N(=O)=O)C(C)C)N(=O)=O,-6.49
CCOC(=O)c1ccc(O)cc1,-2.35
COc1ccccc1,-1.85
COc1ccc(NC(=O)N(C)C)cc1Cl,-2.5639999999999996
CCCC(C)(O)CC,-0.98
ClC(Cl)(Cl)N(=O)=O,-2.0
Cc1ccc(Cl)cc1,-3.08
Cc1ccccc1O,-0.62
CCC(=O)Nc1ccc(Cl)c(Cl)c1,-3.0
ClC(Cl)(Cl)C#N,-2.168
COc1nc(NC(C)C)nc(NC(C)C)n1,-2.478
CCN(CC)c1ccccc1,-3.03
ClC1=C(Cl)C(Cl)(C(=C1Cl)Cl)C2(Cl)C(=C(Cl)C(=C2Cl)Cl)Cl,-7.278
