smiles,value
c1ccc(cc1)c2c(cc(cc2Cl)Cl)Cl,-2.16
N,-4.29
CCCOC(=O)c1ccc(cc1)O,-9.37
Cc1cccc(c1C)C,-1.21
CC(OC)(OC)OC,-4.42
c1cc(cc(c1)Cl)Cl,-0.98
c1ccc2c(c1)cccc2N,-7.28
CCCC#N,-3.64
CC1CCCCC1,1.7
CCC(C)C,2.38
CC(=O)OC,-3.13
c1cc(cnc1)C#N,-6.75
C(C(CO)O)O,-13.43
CCCCCCc1ccccc1,-0.04
C(CCl)CCl,-1.89
C(CO[N+](=O)[O-])O,-8.18
C=C,1.28
CC=O,-3.5
CCCC[N@](CC)c1c(cc(cc1[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-],-3.51
CC[C@H](C(C)C)O,-3.88
c1ccc(c(c1)N)Cl,-4.91
CC(C)C(C)C(C)C,2.56
CC(C)Br,-0.48
CCCC(=O)O,-6.35
c1cc(c(cc1Cl)c2cc(c(c(c2)Cl)Cl)Cl)Cl,-3.61
CC(C)Cc1cnccn1,-5.04
CSc1ccccc1,-2.73
CCOP(=S)(OCC)SCSP(=S)(OCC)OCC,-6.1
CCCCCC(=O)OCC,-2.23
c1ccc(cc1)CCl,-1.93
Cc1cc(cc(c1)O)C,-6.27
CCC=O,-3.43
CCOP(=S)(OCC)SCSc1ccc(cc1)Cl,-6.5
CC(=CCC[C@](C)(C=C)OC(=O)C)C,-2.49
c1cc2cccc3c2c(c1)CC3,-3.15
CC(C)CBr,-0.03
c1cc[nH]c1,-4.78
c1cc(cc(c1)Cl)N,-5.82
CC1=CC[C@H](C[C@@H]1O)C(=C)C,-4.44
CCCCC#C,0.29
Cc1cccc2c1cccc2,-2.44
CCCS,-1.1
C[C@@H](c1cccc(c1)C(=O)c2ccccc2)C(=O)O,-10.78
CCC[N+](=O)[O-],-3.34
C1CCNCC1,-5.11
CNc1ccccc1,-4.69
CC(C)CC(=O)C,-3.05
CNC,-4.29
CCCCCC=C,1.66
C1COCCO1,-5.06
CC(C)C(=O)C(C)C,-2.74
CCCCCCC=O,-2.67
C[C@@H]1CC[C@H]([C@@H](C1)O)C(C)C,-3.2
CC(=O)C1CC1,-4.61
CCC(=O)OCC,-2.68
c1ccc2c(c1)C(=O)c3c(ccc(c3C2=O)N)N,-11.85
CCOP(=S)(OCC)S[C@@H](CCl)N1C(=O)c2ccccc2C1=O,-5.74
C1CC1,0.75
CCCCCCC(=O)C,-2.88
c1ccncc1,-4.69
COC(C(Cl)Cl)(F)F,-1.12
CCCCC(=O)CCCC,-2.64
CC(=O)C(C)(C)C,-3.11
c1c(cc(cc1Cl)Cl)Cl,-0.78
CC(C)C,2.3
COc1cc(c(c(c1O)OC)Cl)C=O,-7.78
CCC[N@@](CC1CC1)c2c(cc(cc2[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-],-2.45
Cc1ccc(c(c1)C)O,-6.01
CCc1cnccn1,-5.45
C(Br)Br,-1.96
CN(C)C(=O)c1ccccc1,-9.29
C(=C(Cl)Cl)(Cl)Cl,0.1
CCCCCC=O,-2.81
CCCCCCl,-0.1
c1ccc2c(c1)CCC2,-1.46
CCN,-4.5
CCNc1nc(nc(n1)SC)NC(C)(C)C,-6.68
c1ccc(cc1)CBr,-2.38
CCCCCC(=O)C,-3.04
CCc1ccc(cc1)O,-6.13
CCC(CC)O,-4.35
C(C(Cl)(Cl)Cl)(Cl)(Cl)Cl,-0.64
c1ccc(cc1)Oc2ccccc2,-2.87
C1CNCCN1,-7.4
c1c(c(=O)[nH]c(=O)[nH]1)Br,-18.17
Cc1c[nH]c2c1cccc2,-5.88
c1c2c(cc(c1Cl)Cl)Oc3cc(c(cc3O2)Cl)Cl,-3.37
C=CCC=C,0.93
C([C@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)O,-23.62
